droga;czas[s];;;;;;
[0, 1, 2, 3, 4, 5];0,00100112;;;;;;
[0, 1, 2, 3, 4, 5];0;;;nr;;œredni czas;ile
[0, 1, 2, 3, 4, 5];0;;;1;;0;0
[0, 1, 2, 3, 4, 5];0;;;2;;0,000300272;6_1
[0, 1, 2, 3, 4, 5];0,001000404;;;3;;0,000290253;6_2
[0, 1, 2, 3, 4, 5];0;;;4;;2,221310847;10
[0, 1, 2, 3, 4, 5];0;;;;;332,5221206;12
[0, 1, 2, 3, 4, 5];0,001001596;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0,001000404;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;droga;czas[s];
[0, 1, 2, 3, 4, 5];0;;;;[0, 1, 2, 3, 4, 5];0,001;
[0, 1, 2, 3, 4, 5];0,001000643;;;;[0, 5, 1, 2, 3, 4];0,001;
[0, 1, 2, 3, 4, 5];0;;;;[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,240;
[0, 1, 2, 3, 4, 5];0,001002312;;;;[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10];338,786;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0,001000166;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0,00100112;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0,001000166;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0,001000881;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0,00100112;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0,001000881;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0,001002312;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0,000999451;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0,001000643;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0,001001358;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0,001000404;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0,00100112;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0,001001835;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0,000999928;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0,00100112;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0,001001358;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0,001000881;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0,001000643;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0,001001596;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0,001000881;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0,000999928;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0,001001358;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0,001000881;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0,001000643;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 1, 2, 3, 4, 5];0;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
[0, 5, 1, 2, 3, 4];0,001000643;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
[0, 5, 1, 2, 3, 4];0,001000643;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
[0, 5, 1, 2, 3, 4];0,001000881;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
[0, 5, 1, 2, 3, 4];0,001000404;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
[0, 5, 1, 2, 3, 4];0,00100112;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
[0, 5, 1, 2, 3, 4];0,001000166;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
[0, 5, 1, 2, 3, 4];0,001002073;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
[0, 5, 1, 2, 3, 4];0,001000643;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
[0, 5, 1, 2, 3, 4];0,001000404;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
[0, 5, 1, 2, 3, 4];0,00100112;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
[0, 5, 1, 2, 3, 4];0,001000881;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
[0, 5, 1, 2, 3, 4];0,001000881;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
[0, 5, 1, 2, 3, 4];0,001001358;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
[0, 5, 1, 2, 3, 4];0;;;;;;
