droga;czas[s]
[0, 1, 2, 3, 4, 5];0,001001119613647461
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0010004043579101562
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,001001596450805664
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0010004043579101562
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0010006427764892578
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0010023117065429688
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0010001659393310547
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,001001119613647461
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0010001659393310547
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0010008811950683594
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,001001119613647461
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0010008811950683594
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0010023117065429688
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,00099945068359375
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0010006427764892578
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0010013580322265625
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0010004043579101562
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,001001119613647461
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0010018348693847656
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0009999275207519531
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,001001119613647461
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0010013580322265625
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0010008811950683594
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0010006427764892578
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,001001596450805664
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0010008811950683594
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0009999275207519531
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0010013580322265625
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0010008811950683594
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0010006427764892578
[0, 1, 2, 3, 4, 5];0,0
[0, 1, 2, 3, 4, 5];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0010006427764892578
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0010006427764892578
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0010008811950683594
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0010004043579101562
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,001001119613647461
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0010001659393310547
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0010020732879638672
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0010006427764892578
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0010004043579101562
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,001001119613647461
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0010008811950683594
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0010008811950683594
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0010013580322265625
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0010006427764892578
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0010008811950683594
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0010008811950683594
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,001001119613647461
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0010013580322265625
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0010004043579101562
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0010008811950683594
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0010008811950683594
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,001001119613647461
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0010013580322265625
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0010001659393310547
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0010013580322265625
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0010004043579101562
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,001001119613647461
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0010008811950683594
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0
[0, 5, 1, 2, 3, 4];0,0010006427764892578
[0, 5, 1, 2, 3, 4];0,0
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2400355339050293
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2330288887023926
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,250044822692871
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,228447198867798
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2130119800567627
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2140116691589355
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,1869871616363525
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,225022315979004
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,23903489112854
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2470412254333496
