droga;koszt;czas[s];;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001001358;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000881;;;;;;;
[5];132;0;;;;;;rozmiar instancji;czas[s]
[5];132;0;;;;;;;
[5];132;0,00100112;;;;;;6;0,0004
[5];132;0;;;;;;6;0,0011
[5];132;0,001000404;;;;;;10;0,2109
[5];132;0;;;;;;12;4,6807
[5];132;0;;;;;;13;22,6935
[5];132;0,001001596;;;;;;14;102,376
[5];132;0;;;;;;15;451,2849
[5];132;0,001000404;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000881;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000643;;;;;;;
[5];132;0;;;;;;;
[5];132;0,00100112;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,00100112;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000404;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001001835;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000881;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000404;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000881;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,00100112;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000881;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000643;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000881;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,00100112;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000404;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001001835;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000881;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000404;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001001358;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000643;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000881;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,00100112;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000643;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000643;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000881;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001001596;;;;;;;
[5];132;0;;;;;;;
[5];132;0,00100112;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000166;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,00100112;;;;;;;
[5];132;0;;;;;;;
[5];132;0;;;;;;;
[5];132;0,001000643;;;;;;;
[5];132;0;;;;;;;
[5];132;0,00100112;;;;;;;
[5];132;0;;;;;;;
[4];80;0,00200057;;;;;;;
[4];80;0,001000881;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,001000643;;;;;;;
[4];80;0,002002478;;;;;;;
[4];80;0,001000881;;;;;;;
[4];80;0,001000881;;;;;;;
[4];80;0,001000881;;;;;;;
[4];80;0,001001835;;;;;;;
[4];80;0,001000166;;;;;;;
[4];80;0,001001596;;;;;;;
[4];80;0,001000166;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,001000643;;;;;;;
[4];80;0,001000881;;;;;;;
[4];80;0,001000643;;;;;;;
[4];80;0,002002239;;;;;;;
[4];80;0,001001835;;;;;;;
[4];80;0,000999928;;;;;;;
[4];80;0,001001358;;;;;;;
[4];80;0,001000404;;;;;;;
[4];80;0,001000881;;;;;;;
[4];80;0,001000881;;;;;;;
[4];80;0,001000881;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,001001358;;;;;;;
[4];80;0,001000404;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,002001524;;;;;;;
[4];80;0,001001358;;;;;;;
[4];80;0,001000404;;;;;;;
[4];80;0,001000881;;;;;;;
[4];80;0,001001358;;;;;;;
[4];80;0,001000643;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,001000404;;;;;;;
[4];80;0,001001835;;;;;;;
[4];80;0,001000166;;;;;;;
[4];80;0,001001596;;;;;;;
[4];80;0,002001762;;;;;;;
[4];80;0,000999928;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,001000881;;;;;;;
[4];80;0,001000881;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,001001596;;;;;;;
[4];80;0,001000166;;;;;;;
[4];80;0,001001596;;;;;;;
[4];80;0,001000404;;;;;;;
[4];80;0,001000643;;;;;;;
[4];80;0,002002239;;;;;;;
[4];80;0,001000643;;;;;;;
[4];80;0,001000643;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,001001596;;;;;;;
[4];80;0,001000881;;;;;;;
[4];80;0,001000881;;;;;;;
[4];80;0,001000404;;;;;;;
[4];80;0,001000643;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,001000404;;;;;;;
[4];80;0,002002954;;;;;;;
[4];80;0,000999928;;;;;;;
[4];80;0,001001596;;;;;;;
[4];80;0,001000643;;;;;;;
[4];80;0,001000166;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,001001358;;;;;;;
[4];80;0,001000404;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,001000881;;;;;;;
[4];80;0,001001596;;;;;;;
[4];80;0,002001524;;;;;;;
[4];80;0,001000404;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,001000404;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,001000643;;;;;;;
[4];80;0,001001358;;;;;;;
[4];80;0,001000643;;;;;;;
[4];80;0,001001358;;;;;;;
[4];80;0,001000404;;;;;;;
[4];80;0,002001762;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,001000404;;;;;;;
[4];80;0,001000881;;;;;;;
[4];80;0,001001835;;;;;;;
[4];80;0,000999928;;;;;;;
[4];80;0,001001596;;;;;;;
[4];80;0,001000643;;;;;;;
[4];80;0,001000643;;;;;;;
[4];80;0,00100112;;;;;;;
[4];80;0,001000643;;;;;;;
[4];80;0,002002716;;;;;;;
[4];80;0,001000166;;;;;;;
[3];212;0,208189011;;;;;;;
[3];212;0,209189177;;;;;;;
[3];212;0,207189322;;;;;;;
[3];212;0,207187891;;;;;;;
[3];212;0,207187891;;;;;;;
[3];212;0,206187963;;;;;;;
[3];212;0,208188534;;;;;;;
[3];212;0,208189726;;;;;;;
[3];212;0,208188772;;;;;;;
[3];212;0,207189083;;;;;;;
[3];212;0,207188129;;;;;;;
[3];212;0,207187414;;;;;;;
[3];212;0,208189726;;;;;;;
[3];212;0,207188129;;;;;;;
[3];212;0,208189964;;;;;;;
[3];212;0,206186295;;;;;;;
[3];212;0,208253384;;;;;;;
[3];212;0,21319294;;;;;;;
[3];212;0,209694147;;;;;;;
[3];212;0,213193893;;;;;;;
[3];212;0,218100309;;;;;;;
[3];212;0,208513021;;;;;;;
[3];212;0,222892523;;;;;;;
[3];212;0,216259718;;;;;;;
[3];212;0,217532635;;;;;;;
[3];212;0,210790396;;;;;;;
[3];212;0,219198942;;;;;;;
[3];212;0,211191893;;;;;;;
[3];212;0,222202301;;;;;;;
[3];212;0,210461855;;;;;;;
[3];212;0,209188938;;;;;;;
[3];212;0,211172581;;;;;;;
[3];212;0,209994793;;;;;;;
[3];212;0,210190773;;;;;;;
[3];212;0,211193323;;;;;;;
[3];212;0,210190058;;;;;;;
[3];212;0,210191011;;;;;;;
[3];212;0,210191727;;;;;;;
[3];212;0,208189011;;;;;;;
[3];212;0,209956408;;;;;;;
[3];212;0,21113348;;;;;;;
[3];212;0,21019125;;;;;;;
[3];212;0,210191011;;;;;;;
[3];212;0,210767984;;;;;;;
[3];212;0,20919013;;;;;;;
[3];212;0,211192369;;;;;;;
[3];212;0,209198713;;;;;;;
[3];212;0,209181547;;;;;;;
[3];212;0,20919013;;;;;;;
[3];212;0,216197252;;;;;;;
[3];212;0,209189892;;;;;;;
[3];212;0,20919013;;;;;;;
[3];212;0,208188057;;;;;;;
[3];212;0,212193012;;;;;;;
[3];212;0,213193893;;;;;;;
[3];212;0,211192131;;;;;;;
[3];212;0,209189653;;;;;;;
[3];212;0,209190369;;;;;;;
[3];212;0,209190607;;;;;;;
[3];212;0,20919013;;;;;;;
[3];212;0,208198071;;;;;;;
[3];212;0,20919013;;;;;;;
[3];212;0,208179951;;;;;;;
[3];212;0,208692074;;;;;;;
[3];212;0,210191011;;;;;;;
[3];212;0,208198786;;;;;;;
[3];212;0,210181236;;;;;;;
[3];212;0,213193655;;;;;;;
[3];212;0,210190535;;;;;;;
[3];212;0,210190773;;;;;;;
[3];212;0,216196537;;;;;;;
[3];212;0,211192608;;;;;;;
[3];212;0,213193655;;;;;;;
[3];212;0,215195179;;;;;;;
